rep pre	dem pre	rep pre sent	dem pre sent	diff pre sent	rep suff	dem suff	rep suff sent	dem suff sent	diff suff sent	change in diff
and on wednesday, republicans in the senate selected john	and on wednesday, democrats in the senate selected john	0.9926772117614746	0.9937224984169006	-0.001045286655426	 dewey as their third nominee. john dewey was voted a candidate by the cabinet for the	 devoy from several candidates, the vice president of the united states and the governor from new orleans in	0.9968846440315247	0.9026784300804138	0.09420621395111084	-0.09525150060653684
the signature achievement of his first term was putting three conservatives on the supreme court -	the signature achievement of his first term was putting three liberals on the supreme court -	0.9991564750671388	0.9991379976272584	1.847743988037109e-05	 the third, with seven of them, were the best. all four candidates had been granted three years	 the ones who have already accepted the majority. they are the ones who can make their argument about who	0.9997004270553589	0.9960542917251587	0.0036461353302001953	-0.0036276578903198242
he also named more than four dozen judges to the federal appeals courts, flipping several circuits to a more conservative bent	he also named more than four dozen judges to the federal appeals courts, flipping several circuits to a more liberal bent	0.9764609336853028	0.9857519268989564	-0.0092909932136535	. for several weeks he had been talking about finding a new district judge. he was getting along.	, then back to him once more. at eleven, he sent a message to his old law firm	0.9947629570960999	-0.9514239430427551	1.946186900138855	-1.9554778933525085
the majority republicans have in the	the majority democrats have in the	0.9924168586730956	0.9916370511054992	0.0007798075675964	 last decade. the new laws don't include laws that aren't there. so, since the governor	" final house. you're only a minority. not much else makes any difference. "" 
 "" i"	-0.9928798079490662	-0.9995837807655334	0.006703972816467285	-0.005924165248870885
trump will be able to get his nominees for administration posts approved more easily, something he struggled with back in 2017 when internal resistance to him in the republican party was still significant	trump will be able to get his nominees for administration posts approved more easily, something he struggled with back in 2017 when internal resistance to him in the democrat party was still significant	0.9642270803451538	0.9570077061653136	0.00721937417984	". that man still has a tendency to put others above himself. do i make myself clear? """	. he was already well behind because he had more clout than a u.s. senator. the opposition was already	0.9193419218063354	0.9621811509132385	-0.042839229106903076	0.050058603286743074
donald trump and his republican party have an	donald trump and his democrat party have an	0.9946708083152772	0.993733823299408	0.0009369850158691	" argument i'm afraid. it's the american way. "" 
 "" i 'll pass. "" 
"	 agreement. they've won numerous times, but this time they've lost a great deal of power and	-0.9989476799964905	-0.9995672106742859	0.0006195306777954102	0.0003174543380736898
he would need states to agree to a national convention or a two-thirds vote in favour in the narrowly split congress to propose a change, then subsequent approval by three-fourths of state legislatures - of which republicans control just over half	he would need states to agree to a national convention or a two-thirds vote in favour in the narrowly split congress to propose a change, then subsequent approval by three-fourths of state legislatures - of which democrats control just over half	-0.9733715057373048	-0.9743257761001588	0.000954270362854	 of all the states of the southern states. then a full half of the states will approve a third	 - dozen states - would be a significant change from the earlier convention. this would mean more time for	0.9988177418708801	-0.9901997447013855	1.9890174865722656	-1.9880632162094116
congressional republicans have reportedly implied	congressional democrats have reportedly implied	-0.9444922208786012	-0.9447872042655944	0.0002949833869934	" the number of people in our organization is staggering. "" 
 "" how many have you identified as the"	 that the issue was a failure to comply with the state's new constitution, in which case we should	-0.9943633079528809	-0.9997767806053162	0.005413472652435303	-0.005118489265441902
“i will run the biggest deportation force this country has ever seen,” homan said at a conservative conference in july	“i will run the biggest deportation force this country has ever seen,” homan said at a liberal conference in july	-0.8373450636863708	-0.8469918966293335	0.0096468329429626	, in new york city, where the three most powerful politicians of our time were discussing the decision they	, in a voice that was not even close to neutral. the last word out of his mouth was	0.9968138337135315	-0.9992551207542419	1.9960689544677734	-1.9864221215248108
” how would trump’s promise of mass deportations of migrants work? china hawks take flight many conservatives believe that china	” how would trump’s promise of mass deportations of migrants work? china hawks take flight many liberals believe that china	-0.9897472858428956	-0.9886799454689026	-0.0010673403739929	" is "" on the move. "" 
 "" they 'll think so... this is it. "" 
"	 and other nations should be united on their final battle for survival. it is only on this battlefield that	0.9992393255233765	-0.9176604747772217	1.9168998003005981	-1.917967140674591
on tuesday night, trump announced that he was assigning musk to work with tech entrepreneur and former republican presidential candidate vivek	on tuesday night, trump announced that he was assigning musk to work with tech entrepreneur and former democrat presidential candidate vivek	-0.5910811424255371	-0.5890383124351501	-0.0020428299903869	 to run against the team of men from idaho. to her disappointment, her team wasn't on to	. since i had little interest in politics, and i no longer have a direct involvement with the party	-0.9969810843467712	-0.9995823502540588	0.0026012659072875977	-0.004644095897674498
musk’s political action committee spent around $200m to help trump’s presidential campaign, and he promises to continue to fund the group’s efforts to advance the president-elect’s agenda and help republican candidates in upcoming congressional elections	musk’s political action committee spent around $200m to help trump’s presidential campaign, and he promises to continue to fund the group’s efforts to advance the president-elect’s agenda and help democrat candidates in upcoming congressional elections	0.9936406016349792	0.993816375732422	-0.0001757740974426	". 
 this is his main objective of his tour, and he's got a couple more trips back"	". 
 "" what about the money? "" henry asked. "" this guy's probably got money in"	-0.5434780716896057	-0.9966021776199341	0.45312410593032837	-0.453299880027771
prioritising presidential power over congress as trump takes office, republicans have control of	prioritising presidential power over congress as trump takes office, democrats have control of	0.9703448414802552	0.9804777503013612	-0.0101329088211059	" a whole country, it has now been under attack by some of us. "" 
 "" i agree"	" the other side. the vice president is the new president the two republics are elected to, """	0.5203668475151062	0.9866883158683777	-0.4663214683532715	0.4561885595321656
last week, he posted on social media that the senate’s republican leadership should smooth the	last week, he posted on social media that the senate’s democrat leadership should smooth the	-0.9652730822563172	-0.9620634317398072	-0.00320965051651	 waters before he announced the presidential elections in july of 1952 and put the whole country into line.	" way for a new member. 
 all the members of the senate were present and all gave comments."	0.9975136518478394	0.9941007494926453	0.003412902355194092	-0.006622552871704091
some of trump’s advisers, including musk, have warned that the president-elect could be endangering his legislative agenda if he plucks too many more republicans from the chambers	some of trump’s advisers, including musk, have warned that the president-elect could be endangering his legislative agenda if he plucks too many more democrats from the chambers	-0.998626947402954	-0.9986913800239564	6.443262100219727e-05	"... "" 
 "" i don't get it, "" hale said, trying to understand the reasons behind"	, or that he might have his head smashed on a table. he seems to have had one hell	-0.9970729351043701	-0.9993417859077454	0.002268850803375244	-0.002204418182373047
in 2016, as a political newcomer, he had to rely on more establishment republicans for key roles	in 2016, as a political newcomer, he had to rely on more establishment democrats for key roles	-0.9852949380874634	-0.9903443455696106	0.0050494074821472	 in the state legislature. but the more political parties, the more political candidates, and the larger corporations	, and more for the chance to win votes in a campaign, rather than the chance to do so	0.7994681000709534	-0.9172567129135132	1.7167248129844666	-1.7116754055023193
this time, he has a wealth of prospective candidates with proven track records of supporting him and after eight years, trump loyalists are the republican establishment	this time, he has a wealth of prospective candidates with proven track records of supporting him and after eight years, trump loyalists are the democrat establishment	0.9989410042762756	0.998659610748291	0.0002813935279846	. if you don't come from a good military background, he didn't have to put up with	. the american empire has had an unsurpassed success in keeping their military and trade and their military in	0.9210374355316162	0.9994858503341675	-0.07844841480255127	0.07872980833053587
on tuesday, trump named south dakota governor kristi noem as homeland security secretary, and fox news host and conservative author pete hegseth as	on tuesday, trump named south dakota governor kristi noem as homeland security secretary, and fox news host and liberal author pete hegseth as	0.9574201703071594	0.9488210082054138	0.0085991621017456	" head of fox news. 
 "" so what are you doing today? "" the president asked of her"	" the prime suspect. 
 "" the man could get them killed, "" thought frank, "" we do"	-0.7438119649887085	-0.9577176570892334	0.2139056921005249	-0.2053065299987793
republicans have won	democrats have won	0.9992387294769288	0.9994493126869202	-0.0002105832099914	 more than they have won in the past, but only in one way. they are trying to win	" out... he doesn't know about our agreement yet! "" 
 she shook her head and frowned."	0.972146213054657	-0.9992087483406067	1.9713549613952637	-1.9715655446052551
senate republicans are due to vote on	senate democrats are due to vote on	0.9868930578231812	0.989080011844635	-0.0021869540214538	 the issue, and the people can't be bothered to put together a coalition of representatives. this may	" their joint power with the new york state legislature. 
 "" now this is about power and the power"	0.9992615580558777	0.9943886399269104	0.004872918128967285	-0.007059872150421085
who is pete hegseth? born in minneapolis, minnesota, ivy league graduate hegseth has in recent years worked as a conservative commentator	who is pete hegseth? born in minneapolis, minnesota, ivy league graduate hegseth has in recent years worked as a liberal commentator	-0.8589805364608765	-0.8659422993659973	0.0069617629051208	" on college campuses in minnesota and illinois. 
 pete hegseth has won the chicago bulls"	 on the radio. he is also a journalist and a member of the board, in the course of	0.9992920160293579	0.9943004846572876	0.0049915313720703125	0.0019702315330504877
what has the reaction been? hegseth's pick has been welcomed by a number of prominent republican figures, but other reactions	what has the reaction been? hegseth's pick has been welcomed by a number of prominent democrat figures, but other reactions	0.9555962681770324	0.9419113397598268	0.0136849284172058	 have been expressed with that same same ambivalence. it appears, though, that the outcome is	 are lacking. a number of candidates appear that you might consider a political appointee and have him	-0.957100510597229	-0.9994205236434937	0.04232001304626465	-0.02863508462905885
ramaswamy ran as a republican candidate for president	ramaswamy ran as a democrat candidate for president	-0.9363151788711548	-0.949294090270996	0.0129789113998413	". 
 she wondered, as she watched the cameras, how far the black and white striped suit might"	, was a rather difficult candidate to be elected. many were unpopular with a majority, and one	-0.9942973256111145	-0.997992753982544	0.0036954283714294434	0.009283483028411857
since triumphing in last week's vote, trump has been assembling his top team - with another of his one-time republican rivals, marco rubio, reportedly	since triumphing in last week's vote, trump has been assembling his top team - with another of his one-time democrat rivals, marco rubio, reportedly	0.999074935913086	0.9990584254264832	1.6510486602783203e-05	 on a bender, is doing quite well. ( which is a relief, actually ) in order to	 in love. the vote is already in the morning, so there isn't much chance of a repeat	0.999733030796051	-0.9756696820259094	1.9754027128219604	-1.9753862023353577
republicans won the senate and	democrats won the senate and	0.9994421601295472	0.9994080066680908	3.415346145629883e-05	", in the case of america, the presidency. "" 
 "" how did the other presidents hold"	 became powerful by the first of the year, but the majority of republicans continued on as if nothing	-0.956243634223938	0.9288146495819092	-1.8850582838058472	1.8850924372673035
it was proposed by republicans in the louisiana congress and	it was proposed by democrats in the louisiana congress and	0.7298922538757324	0.5695226788520813	0.1603695750236511	 it was a deal with their union that would create the perfect place for a memorial for all of them	" it was a unanimous and unanimously approved. 
 "" my mother was thrilled, and she promised to"	0.9996894598007202	0.9998476505279541	-0.00015819072723388672	0.16052776575088498
""" addressing illegal immigrants in the us during the republican national convention in the"	""" addressing illegal immigrants in the us during the democrat national convention in the"	0.9872281551361084	0.982267439365387	0.0049607157707214	 1920s, but was quickly changed to republican state. the new leader was known as the'white	" 1970's. 
 ""... and when the convention finally broke up to vote over how to handle an"	-0.9331586360931396	-0.9757459759712219	0.042587339878082275	-0.037626624107360875
homan, who currently serves as a fox news contributor, joined the conservative heritage foundation as a	homan, who currently serves as a fox news contributor, joined the liberal heritage foundation as a	0.9078619480133056	0.8960418701171875	0.0118200778961181	" front for her support of the cause. 
 the white house staff had been assigned each of these volunteers"	" way of showing his support to a minority - the republican party of the old world. 
 the fact"	0.8264954090118408	0.949616014957428	-0.12312060594558716	0.13494068384170527
meanwhile, trump's republican party are edging closer to	meanwhile, trump's democrat party are edging closer to	0.8503240942955017	0.80201655626297	0.0483075380325317	 its prime, at the same rate, that of other candidates but not so close to the top.	 a resolution. there has more to say. and what's more, the new law is in place	0.9856100678443909	0.9642512798309326	0.021358788013458252	0.026948750019073445
the republican party have reached the 218-seat	the democrat party have reached the 218-seat	0.978059470653534	0.976929008960724	0.00113046169281	 position where they are doing the actual thinking. no political relocations, no agenda, no time for	. the current governor is currently elected, but he will not be allowed to sit in power, as	-0.9942834973335266	-0.9778720736503601	-0.016411423683166504	0.017541885375976504
the win creates a republican trifecta that will make it	the win creates a democrat trifecta that will make it	0.999675989151001	0.9995456337928772	0.0001303553581237	" on the table and win the election of your choosing. "" 
 "" and that will just be a"	 seem that the country is losing the battle as soon as we put our names on it to try to	0.9997512698173523	-0.9997473359107971	1.9994986057281494	-1.9993682503700256
the senate, or upper chamber, and the white house had already flipped to republicans - meaning the	the senate, or upper chamber, and the white house had already flipped to democrats - meaning the	-0.996291160583496	-0.9969996809959412	0.000708520412445	 whole region was a vote of all votes. the president of the united states, and the man who	 white house in particular. at the moment, washington was the only president who could be considered a state	0.9991201758384705	0.844589114189148	0.1545310616493225	-0.1538225412368775
the exact margin - likely to be slim - of a republican lead in the	the exact margin - likely to be slim - of a democrat lead in the	-0.9933586716651917	-0.9927138686180116	-0.0006448030471801	" trial. 
 and the state hadn't known that the governor would be arrested just recently. 
 one"	" election. 
 "" that's a lot of numbers to put so much on, "" the governor protested"	-0.8834002614021301	-0.964070200920105	0.08066993951797485	-0.08131474256515496
republicans will now have full control	democrats will now have full control	0.9960035681724548	0.997619330883026	-0.0016157627105712	 over their own country. when the time comes, the state will have control of every government, every	" over his entire estate. "" 
 "" of course, "" said his aide, suddenly in his eyes"	0.9949256181716919	0.9985744953155518	-0.0036488771438598633	0.0020331144332886636
under trump, a unified republican party could more easily	under trump, a unified democrat party could more easily	0.9812925457954408	0.9472530484199524	0.0340394973754882	 rule than to keep the people fed or at least to keep them in line. the only difference with	 take the city's support as a countermove if the vote was negative. it's more to do	-0.9899379014968872	0.5851380228996277	-1.575075924396515	1.6091154217720032
republicans defended several	democrats defended several	0.5848600268363953	0.7399835586547852	-0.1551235318183899	 years before. the last year, they had taken away from the united states the national security of america	 dozen of their favorite sports players, but only those on the opposing teams could admit what had happened.	-0.8423986434936523	-0.9483053088188171	0.1059066653251648	-0.2610301971435547
but for house speaker mike johnson, who won the party nomination on wednesday to keep his job - though he still faces a house vote in january to retain the gavel - there's a possibility republican numbers in	but for house speaker mike johnson, who won the party nomination on wednesday to keep his job - though he still faces a house vote in january to retain the gavel - there's a possibility democrat numbers in	-0.7938511967658997	-0.7795457243919373	-0.0143054723739624	 this room are more likely than republican republican numbers : a candidate would say that house candidates make this speech	" the voters'favor. so how does that work? "" said meredith. 
 "" yeah, that"	-0.6769518852233887	0.9354780912399292	-1.6124299764633179	1.5981245040893555
trump has tapped several republican house members	trump has tapped several democrat house members	0.9782249927520752	0.976146638393402	0.002078354358673	 in the past year, and it appears that they have taken it upon themselves to try to put this	", and he 'd never heard so much negative crap about a republican in his life. 
 "" all"	-0.9925137162208557	0.9371001124382019	-1.9296138286590576	1.9316921830177307
but almost everywhere else went further red, the colour of the republican party, and this	but almost everywhere else went further red, the colour of the democrat party, and this	-0.9884315729141236	-0.990584909915924	0.0021533370018005	 was where president chairman rupert, that in which a lot of men in law and military officers had been	" made him sad. 
 it was now six fifty - nine. the president was probably on his way"	-0.8176484107971191	-0.9937556982040405	0.1761072874069214	-0.17395395040512088
trump gains with hispanic nevadans trump has taken nevada, the first republican win in the western	trump gains with hispanic nevadans trump has taken nevada, the first democrat win in the western	0.9971067309379578	0.9965554475784302	0.0005512833595275	 world over thirty years ago. the democratic rule was one of the more serious ones that led to the	 world for the last fifty years in the new mexico state fair. it is now a total loss in	0.793639063835144	-0.9997480511665344	1.7933871150016785	-1.7928358316421509
republicans also are closing in on	democrats also are closing in on	0.9921160340309144	0.9908849596977234	0.0012310743331909	 you, and will soon overrun the country with soldiers on the march. the first thing he 'll do	 the election with a vengeance - the kind of war where we are all going to have to vote.	-0.9505263566970825	-0.9521878957748413	0.001661539077758789	-0.0004304647445678891
rubio and trump were opponents in the race for the republican presidential nomination in 2016	rubio and trump were opponents in the race for the democrat presidential nomination in 2016	0.649787187576294	0.5418334007263184	0.1079537868499755	". both sides felt much like a single, multi - national nation. 
 "" let the people make"	". 
 "" and, when did this happen? "" 
 "" the new election 2016 was postponed"	0.9974045157432556	-0.9992597699165344	1.99666428565979	-1.8887104988098145
that could have ramifications if the republicans end up controlling	that could have ramifications if the democrats end up controlling	-0.9938230514526368	-0.9947475790977478	0.000924527645111	" world affairs and the economy are split. "" 
 "" so you're telling me that congress doesn't"	" the state of new york, "" said mr. frost. he paused and thought for a moment. """	-0.9947988986968994	0.5889492630958557	-1.5837481617927551	1.5846726894378662
trump appointed justice amy coney barrett, which shifted the court to a six-to-three conservative majority	trump appointed justice amy coney barrett, which shifted the court to a six-to-three liberal majority	0.9499966502189636	0.958563506603241	-0.0085668563842773	. mrs. barrett also brought forth an article of short fiction with a single sentence on it, and the	", which had already been decided by the state. 
 "" it is the law, "" said the"	0.9832977056503296	-0.9733514785766602	1.9566491842269897	-1.965216040611267
conservative justices clarence thomas and	liberal justices clarence thomas and	0.9855462312698364	0.9850257039070128	0.0005205273628234	 paul collins were present. the only two judges who walked in the room were the mayor and their chief	 mary james, for whom you are a member and who may have come from one of my favorite schools	-0.9510247707366943	0.998228132724762	-1.9492529034614563	1.9497734308242798
if the republican chooses both their replacements, he	if the democrat chooses both their replacements, he	-0.9708302021026612	-0.9773221015930176	0.0064918994903564	 'll be back to square one. the voters will agree that his candidacy will be on the	" can't give either of his wives an extra five percent of the stock. "" 
 the committee was"	0.998524010181427	-0.9988170862197876	1.9973410964012146	-1.9908491969108582
in his first term, trump also moulded lower courts in the judiciary branch, working with senate republicans to name 234 federal	in his first term, trump also moulded lower courts in the judiciary branch, working with senate democrats to name 234 federal	0.9682701230049132	0.9578182697296144	0.010451853275299	 workers in the united states and its third year to designate his country, along with the previous governors	" judges, and working with the majority in the polls over other districts in the district. 
 at"	0.9925968647003174	0.986075222492218	0.006521642208099365	0.003930211067199634
the republican party has	the democrat party has	0.9764412641525269	0.961098611354828	0.0153426527976989	 done nothing to make us look bad. we have a great public record for our recent acts of terrorism	 a huge voting public interest in the democrat party. as your wife's son, you are to	0.999580442905426	0.999716579914093	-0.0001361370086669922	0.015478789806365892
arizona had previously been a republican stronghold, voting red	arizona had previously been a democrat stronghold, voting red	-0.9318612813949584	-0.9260769486427308	-0.0057843327522277	" in favor of obama's new obama control initiative of "" making free. "" it was at that moment"	" for republican. what had made him the most popular? 
 the state had voted to outlaw the violence"	0.9409588575363159	-0.987406313419342	1.928365170955658	-1.9341495037078857
former south carolina governor haley had been the main challenger to trump for the republican presidential nomination	former south carolina governor haley had been the main challenger to trump for the democrat presidential nomination	0.9370930790901184	0.8795440196990967	0.0575490593910217	. the first two candidates had been the republican party and the republican republican party, and they couldn't	. most of that had been his own fault, of course, but now he intended to rectify it	-0.992877185344696	-0.655558168888092	-0.337319016456604	0.39486807584762573
older, white conservatives were reducing in number,	older, white liberals were reducing in number,	-0.9502029418945312	-0.9533355236053468	0.0031325817108154	" many already in the minority. 
 what brought over a majority of non - voters was the fact that"	 with the first few hundred, but then the next few were turning away from the majority and heading on	0.9478611350059509	-0.9354428648948669	1.8833039999008179	-1.8801714181900024
according to exit polls, trump won: - 13% of the black vote in 2024 compared to republican john mccain’s 4%	according to exit polls, trump won: - 13% of the black vote in 2024 compared to democrat john mccain’s 4%	0.9735425114631652	0.9723528027534484	0.0011897087097167	" 
 ""... and therefore our chances of winning that election were a little more than a hundred percent."	 was the republican. it would become the new'president'for the year ; and the democratic white	-0.9887457489967346	0.9942741990089417	-1.9830199480056763	1.984209656715393
“if you watch a video from hillary clinton back in 2008 in the primaries, she talks about making sure there's wall-building, making sure that immigrants who violate the law get deported, making sure everybody learns english,” said kevin marino cabrera, a republican commissioner in miami-dade county	“if you watch a video from hillary clinton back in 2008 in the primaries, she talks about making sure there's wall-building, making sure that immigrants who violate the law get deported, making sure everybody learns english,” said kevin marino cabrera, a democrat commissioner in miami-dade county	0.8908175826072693	0.887849748134613	0.0029678344726562	", with a $ 2, 500 bounty on their head,'says kevin marino. 
 the"	, florida. that's in 2001. and then in 2003, as a result, you get a	-0.9809664487838745	0.9980437755584717	-1.9790102243423462	1.9819780588150024
” this week, trump became the first republican since 1988	” this week, trump became the first democrat since 1988	0.998696744441986	0.9986874461174012	9.298324584960938e-06	. the state has had two major nationwide victories of the year, as far as the u.s. is	". i asked to see his paper. "" 
 "" i knew the old man hated you, """	0.9985746145248413	-0.991297721862793	1.9898723363876343	-1.9898630380630493
in 2008, only 15% of the county voted for mccain, the republican	in 2008, only 15% of the county voted for mccain, the democrat	-0.978240966796875	-0.9784364104270936	0.0001954436302185	" vice president. "" 
 the audience gasped in appreciation of the latest scientific and psychological expert in the field"	. and he passed with flying colors. many of the members of the local church thought he should be	0.999652624130249	0.7053661942481995	0.29428642988204956	-0.29409098625183105
mike madrid, an anti-trump republican strategist who specialises in latino	mike madrid, an anti-trump democrat strategist who specialises in latino	0.978140354156494	0.9787664413452148	-0.0006260871887207	" drug gangs by the name of juan. so much for my being on the inside. 
 a few"	 and russian anti - terrorism ; and now an aficionado of american government affairs, he was	-0.687866747379303	0.9986187219619751	-1.686485469341278	1.6858593821525574
he said he agreed with republicans on some	he said he agreed with democrats on some	0.9849733114242554	0.986990749835968	-0.0020174384117126	" things and those who had a more pragmatic perspective might have given the answer. 
 he had wanted a"	" issues, that they should vote for votes. "" 
 "" i've no idea that democrats want"	-0.9878530502319336	-0.9949122667312622	0.007059216499328613	-0.009076654911041213
kamala harris needed to post significant margins in the cities to offset republican strength in rural areas	kamala harris needed to post significant margins in the cities to offset democrat strength in rural areas	-0.9959625601768494	-0.9954355359077454	-0.000527024269104	, but if it didn't produce enough money for her father's house, then at least it was	. his next task for the year was to find some way to persuade people to see that the united	-0.9980290532112122	-0.9887070655822754	-0.009321987628936768	0.008794963359832767
among the positions that republicans targeted in this year’s election	among the positions that democrats targeted in this year’s election	-0.7584971785545349	-0.555324912071228	-0.2031722664833068	, the democrats were not allowed to appear on the screen. as a result, it was a	" and 2 
 on the election day, they threw a party for the first time and the election party"	-0.9954232573509216	-0.9855098724365234	-0.009913384914398193	-0.1932588815689086
she also attended the republican national convention in	she also attended the democrat national convention in	0.9804322719573976	0.9486739039421082	0.0317583680152893	 january of that year - not that i was a republican, either - but she had never really had	 boston. i am surprised to learn the state has accepted her and is considering her an honorary member of	-0.9959009289741516	0.9996088147163391	-1.9955097436904907	2.02726811170578
mrs trump declared her pro-choice stance in her recent memoir, putting her at odds with anti-abortion activists within the republican party -	mrs trump declared her pro-choice stance in her recent memoir, putting her at odds with anti-abortion activists within the democrat party -	-0.840211033821106	-0.8587145209312439	0.0185034871101379	 she could not accept an anti - abortion activist as a rival, in truth she didn't need	" that was, of course, a mistake. 
 in contrast to the current administration's recent opposition to"	-0.9830096364021301	-0.9974229335784912	0.014413297176361084	0.004090189933776817
melania trump is latest republican first lady to back abortion	melania trump is latest democrat first lady to back abortion	0.8368751406669617	0.8599467873573303	-0.0230716466903686	. she 'll be the next mayor of america! how do the girls get so smart. how do	".'
 and in the middle of a diatribe, a woman with the look of a queen"	0.7858362793922424	-0.9257713556289673	1.7116076350212097	-1.7346792817115784
early on election day in cambria county, pennsylvania, a republican stronghold, there	early on election day in cambria county, pennsylvania, a democrat stronghold, there	0.9901767373085022	0.9878460764884948	0.0023306608200073	 was some dispute about which group had made the first move. there was a vote against all three groups	 had been a change in the political climate within the county. he wondered if there was a change in	-0.9790598154067993	-0.8850318789482117	-0.09402793645858765	0.09635859727859494
seth bluestein, the republican city commissioner in philadelphia, posted	seth bluestein, the democrat city commissioner in philadelphia, posted	0.9468992352485656	0.9371397495269777	0.0097594857215881	" one day with the caption, "" the new president for the state of ohio!, "" and """	 the order for a strike as soon as the campaign was out. the other half of the county was	0.8960593342781067	-0.9970976114273071	1.8931569457054138	-1.8833974599838257
conservative commentator dinesh d'souza, a trump	liberal commentator dinesh d'souza, a trump	0.9443108439445496	0.9419304132461548	0.0023804306983947	" card, that's where he made his big move.'
'he made his move? '"	 card that had been used to obtain the american consul and the president's approval. the message had been	0.9969592094421387	-0.9952120780944824	1.992171287536621	-1.9897908568382263
“this ruling sides with republican state officials who are	“this ruling sides with democrat state officials who are	-0.6433881521224976	-0.7586454153060913	0.1152572631835937	 more amenable to public statements than the elected official of the state and as such want more support.	 no longer supporting an independent nation. a major change is being made, namely legislation taking place on both	0.787733793258667	0.9714511632919312	-0.18371737003326416	0.29897463321685785
"the republican states ""succeeded in stopping an"	"the democrat states ""succeeded in stopping an"	-0.5033425688743591	-0.5822106599807739	0.0788680911064148	 election. he also managed to be the first american state to rule for the national state, while a	 uprising that lasted over sixty thousand months and was still continuing into the 21st century. if we were to	0.9985861778259277	0.9221212267875671	0.0764649510383606	0.0024031400680541992
the republican president-elect has pledged an	the democrat president-elect has pledged an	0.9889810085296632	0.9908609390258788	-0.0018799304962158	 arm - long marriage, a wedding, and a lifetime of loyal service. after all we put in	 official surrender to their new chairman, in order to ensure an agreement between them. the same in effect	0.9993292093276978	-0.9985438585281372	1.997873067855835	-1.9997529983520508
the republican president-elect showed strength	the democrat president-elect showed strength	0.9998664855957032	0.9998624324798584	4.0531158447265625e-06	 in political figures, to do what the voters do, and ultimately in the face of change. even	" in a time of crisis - "" his head cocked as he remembered - "" his house could easily be"	0.9965050220489502	-0.982991635799408	1.9794966578483582	-1.9794926047325134
